timestamp,last_i,question,features,discernatron_reliable,base_learners,meta_learner
2017-11-20T23:00:22Z,8,"If someone searched for '...', would they want to read this article?",survey-only,TRUE,models/model-cache-base_44ae49db59e8.rds,models/model-cache-meta_44ae5d1104f5.rds
2017-11-20T23:25:10Z,16,"If someone searched for '...', would they want to read this article?",survey & page info,TRUE,models/model-cache-base_44ae6808d65b.rds,models/model-cache-meta_44ae5a930988.rds
2017-11-20T23:33:47Z,24,"If someone searched for '...', would they want to read this article?",survey & traffic,TRUE,models/model-cache-base_44ae66c61c6.rds,models/model-cache-meta_44ae73219c5b.rds
2017-11-20T23:44:30Z,32,"If someone searched for '...', would they want to read this article?","survey, page info, and traffic",TRUE,models/model-cache-base_44ae5795b9ad.rds,models/model-cache-meta_44ae55340d28.rds
2017-11-21T00:04:40Z,40,"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-weekday",TRUE,models/model-cache-base_44ae421781f7.rds,models/model-cache-meta_44ae74a63f26.rds
2017-11-21T01:25:54Z,48,"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform",TRUE,models/model-cache-base_257e41efdaa0.rds,models/model-cache-meta_257e712df7dd.rds
2017-11-21T01:58:19Z,56,"If someone searched for '...', would they want to read this article?","survey, page info, traffic-by-weekday, and traffic-by-platform",TRUE,models/model-cache-base_257e3ef2a711.rds,models/model-cache-meta_257e585dbd34.rds
2017-11-21T02:17:32Z,64,"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform-and-weekday",TRUE,models/model-cache-base_257e6838aa29.rds,models/model-cache-meta_257e1d0adaaa.rds
2017-11-21T02:29:41Z,72,"If someone searched for '...', would they want to read this article?","survey, page info, pagesize, and pageviews",TRUE,models/model-cache-base_257e21a61ee7.rds,models/model-cache-meta_257e9d1bd99.rds
2017-11-21T02:38:47Z,80,"If someone searched for '...', would they want to read this article?","survey, page info, log10-pagesize, and log10-pageviews",TRUE,models/model-cache-base_257e6ea83450.rds,models/model-cache-meta_257e7d3ac04f.rds
2017-11-21T02:48:53Z,88,"If someone searched for '...', would they want to read this article?","survey, page info, standardized pagesize, and standardized pageviews",TRUE,models/model-cache-base_257e3912f144.rds,models/model-cache-meta_257e43650d28.rds
2017-11-21T02:58:56Z,96,"If someone searched for '...', would they want to read this article?","survey, page info, normalized pagesize, and normalized pageviews",TRUE,models/model-cache-base_257e408e23f4.rds,models/model-cache-meta_257e1a75e99e.rds
2017-11-21T03:07:52Z,104,"If someone searched for '...', would they want to read this article?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",TRUE,models/model-cache-base_257e22c846a8.rds,models/model-cache-meta_257e31efaaf9.rds
2017-11-21T03:17:30Z,112,"If someone searched for '...', would they want to read this article?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",TRUE,models/model-cache-base_257e67690d02.rds,models/model-cache-meta_257e32d30153.rds
2017-11-21T03:28:18Z,120,"If you searched for '...', would this article be a good result?",survey-only,TRUE,models/model-cache-base_257e7db880a9.rds,models/model-cache-meta_257e722359c4.rds
2017-11-21T03:37:32Z,128,"If you searched for '...', would this article be a good result?",survey & page info,TRUE,models/model-cache-base_257e744d5cf7.rds,models/model-cache-meta_257eb87748.rds
2017-11-21T03:47:53Z,136,"If you searched for '...', would this article be a good result?",survey & traffic,TRUE,models/model-cache-base_257e77eec31f.rds,models/model-cache-meta_257e2224891e.rds
2017-11-21T03:58:09Z,144,"If you searched for '...', would this article be a good result?","survey, page info, and traffic",TRUE,models/model-cache-base_257e26bf9cdf.rds,models/model-cache-meta_257e6a26b744.rds
2017-11-21T04:11:39Z,152,"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-weekday",TRUE,models/model-cache-base_257e3be83ea1.rds,models/model-cache-meta_257e7d4e7f5f.rds
2017-11-21T04:25:12Z,160,"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform",TRUE,models/model-cache-base_257e618f4f2f.rds,models/model-cache-meta_257e7e3c3686.rds
2017-11-21T04:43:26Z,168,"If you searched for '...', would this article be a good result?","survey, page info, traffic-by-weekday, and traffic-by-platform",TRUE,models/model-cache-base_257ed803759.rds,models/model-cache-meta_257e237f29d0.rds
2017-11-21T05:10:59Z,176,"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform-and-weekday",TRUE,models/model-cache-base_257e6f6a2e63.rds,models/model-cache-meta_257e4c72de6a.rds
2017-11-21T05:27:40Z,184,"If you searched for '...', would this article be a good result?","survey, page info, pagesize, and pageviews",TRUE,models/model-cache-base_257e7bdce704.rds,models/model-cache-meta_257e57a2d88c.rds
2017-11-21T05:36:44Z,192,"If you searched for '...', would this article be a good result?","survey, page info, log10-pagesize, and log10-pageviews",TRUE,models/model-cache-base_257e697db914.rds,models/model-cache-meta_257e1d8305eb.rds
2017-11-21T05:46:10Z,200,"If you searched for '...', would this article be a good result?","survey, page info, standardized pagesize, and standardized pageviews",TRUE,models/model-cache-base_257e61749625.rds,models/model-cache-meta_257e5825ed64.rds
2017-11-21T05:53:15Z,208,"If you searched for '...', would this article be a good result?","survey, page info, normalized pagesize, and normalized pageviews",TRUE,models/model-cache-base_257e1abdc63a.rds,models/model-cache-meta_257e1a878769.rds
2017-11-21T06:00:12Z,216,"If you searched for '...', would this article be a good result?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",TRUE,models/model-cache-base_257e1b8afa8c.rds,models/model-cache-meta_257e5b4bea2e.rds
2017-11-21T06:06:52Z,224,"If you searched for '...', would this article be a good result?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",TRUE,models/model-cache-base_257e34fd7108.rds,models/model-cache-meta_257e3e534135.rds
2017-11-21T06:12:33Z,232,"If you searched for '...', would this article be relevant?",survey-only,TRUE,models/model-cache-base_257ed3b9528.rds,models/model-cache-meta_257e1c667e0a.rds
2017-11-21T06:22:06Z,240,"If you searched for '...', would this article be relevant?",survey & page info,TRUE,models/model-cache-base_257e71264288.rds,models/model-cache-meta_257eaf415d1.rds
2017-11-21T06:30:48Z,248,"If you searched for '...', would this article be relevant?",survey & traffic,TRUE,models/model-cache-base_257ee89d7cf.rds,models/model-cache-meta_257e65739f80.rds
2017-11-21T06:40:50Z,256,"If you searched for '...', would this article be relevant?","survey, page info, and traffic",TRUE,models/model-cache-base_257ebac8d19.rds,models/model-cache-meta_257e6789aee.rds
2017-11-21T07:04:58Z,264,"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-weekday",TRUE,models/model-cache-base_257e798289e.rds,models/model-cache-meta_257e326c29f8.rds
2017-11-21T07:20:09Z,272,"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform",TRUE,models/model-cache-base_257e709f5232.rds,models/model-cache-meta_257e4380673f.rds
2017-11-21T07:39:29Z,280,"If you searched for '...', would this article be relevant?","survey, page info, traffic-by-weekday, and traffic-by-platform",TRUE,models/model-cache-base_257e2fbaa958.rds,models/model-cache-meta_257e522ea161.rds
2017-11-21T08:02:23Z,288,"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform-and-weekday",TRUE,models/model-cache-base_257e41bc9dc5.rds,models/model-cache-meta_257e3d3ae0b1.rds
2017-11-21T08:10:51Z,296,"If you searched for '...', would this article be relevant?","survey, page info, pagesize, and pageviews",TRUE,models/model-cache-base_257e75adcb31.rds,models/model-cache-meta_257e3126cc28.rds
2017-11-21T08:18:36Z,304,"If you searched for '...', would this article be relevant?","survey, page info, log10-pagesize, and log10-pageviews",TRUE,models/model-cache-base_257e9adbf1b.rds,models/model-cache-meta_257e718ab235.rds
2017-11-21T08:27:43Z,312,"If you searched for '...', would this article be relevant?","survey, page info, standardized pagesize, and standardized pageviews",TRUE,models/model-cache-base_257e8c9a4b4.rds,models/model-cache-meta_257e732b782f.rds
2017-11-21T08:34:34Z,320,"If you searched for '...', would this article be relevant?","survey, page info, normalized pagesize, and normalized pageviews",TRUE,models/model-cache-base_257ef0db820.rds,models/model-cache-meta_257e6a3e3ad9.rds
2017-11-21T08:41:30Z,328,"If you searched for '...', would this article be relevant?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",TRUE,models/model-cache-base_257e4b516593.rds,models/model-cache-meta_257e29cb7e5a.rds
2017-11-21T08:49:23Z,336,"If you searched for '...', would this article be relevant?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",TRUE,models/model-cache-base_257e4c5c243.rds,models/model-cache-meta_257e66dc6020.rds
2017-11-21T08:58:53Z,344,Would you click on this page when searching for '...'?,survey-only,TRUE,models/model-cache-base_257e5176889.rds,models/model-cache-meta_257e39c3334b.rds
2017-11-21T09:08:18Z,352,Would you click on this page when searching for '...'?,survey & page info,TRUE,models/model-cache-base_257e252fa155.rds,models/model-cache-meta_257e1252fdb1.rds
2017-11-21T09:17:10Z,360,Would you click on this page when searching for '...'?,survey & traffic,TRUE,models/model-cache-base_257e5629b155.rds,models/model-cache-meta_257e1655e3dd.rds
2017-11-21T09:31:06Z,368,Would you click on this page when searching for '...'?,"survey, page info, and traffic",TRUE,models/model-cache-base_257e1d471382.rds,models/model-cache-meta_257e64b38924.rds
2017-11-21T09:48:54Z,376,Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-weekday",TRUE,models/model-cache-base_257e7bc9835d.rds,models/model-cache-meta_257e28f3a09b.rds
2017-11-21T10:05:48Z,384,Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform",TRUE,models/model-cache-base_257e6b2c2412.rds,models/model-cache-meta_257e361abfb.rds
2017-11-21T10:34:57Z,392,Would you click on this page when searching for '...'?,"survey, page info, traffic-by-weekday, and traffic-by-platform",TRUE,models/model-cache-base_341159639518.rds,models/model-cache-meta_3411fb7f2a8.rds
2017-11-21T10:52:22Z,400,Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform-and-weekday",TRUE,models/model-cache-base_34116c2183c6.rds,models/model-cache-meta_341186ed7bc.rds
2017-11-21T11:01:34Z,408,Would you click on this page when searching for '...'?,"survey, page info, pagesize, and pageviews",TRUE,models/model-cache-base_341179f78aa8.rds,models/model-cache-meta_3411421e34c7.rds
2017-11-21T11:10:32Z,416,Would you click on this page when searching for '...'?,"survey, page info, log10-pagesize, and log10-pageviews",TRUE,models/model-cache-base_34112cb57576.rds,models/model-cache-meta_34112bcf3d8c.rds
2017-11-21T11:27:06Z,424,Would you click on this page when searching for '...'?,"survey, page info, standardized pagesize, and standardized pageviews",TRUE,models/model-cache-base_34112acde9ce.rds,models/model-cache-meta_341131713403.rds
2017-11-21T11:35:37Z,432,Would you click on this page when searching for '...'?,"survey, page info, normalized pagesize, and normalized pageviews",TRUE,models/model-cache-base_34116e4adb81.rds,models/model-cache-meta_341120ea80e5.rds
2017-11-21T11:45:09Z,440,Would you click on this page when searching for '...'?,"survey, page info, standardized log10-pagesize, and standardized log10-pageviews",TRUE,models/model-cache-base_34113ab1c52a.rds,models/model-cache-meta_34117f823c95.rds
2017-11-21T11:59:26Z,448,Would you click on this page when searching for '...'?,"survey, page info, normalized log10-pagesize, and normalized log10-pageviews",TRUE,models/model-cache-base_34111d16a5b4.rds,models/model-cache-meta_341155529530.rds
2017-11-21T12:07:47Z,456,"If someone searched for '...', would they want to read this article?",survey-only,FALSE,models/model-cache-base_3411464b1575.rds,models/model-cache-meta_34113ba25ac4.rds
2017-11-21T12:19:03Z,464,"If someone searched for '...', would they want to read this article?",survey & page info,FALSE,models/model-cache-base_34114b749c48.rds,models/model-cache-meta_34113e98cf99.rds
2017-11-21T12:28:15Z,472,"If someone searched for '...', would they want to read this article?",survey & traffic,FALSE,models/model-cache-base_34112039ceff.rds,models/model-cache-meta_341137afd33c.rds
2017-11-21T12:38:14Z,480,"If someone searched for '...', would they want to read this article?","survey, page info, and traffic",FALSE,models/model-cache-base_34113dfd2ea7.rds,models/model-cache-meta_34112cabbda0.rds
2017-11-21T12:55:15Z,488,"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-weekday",FALSE,models/model-cache-base_341174f30960.rds,models/model-cache-meta_34116a0fc799.rds
2017-11-21T13:10:49Z,496,"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform",FALSE,models/model-cache-base_341141ff3098.rds,models/model-cache-meta_34114f731dd7.rds
2017-11-21T13:40:24Z,504,"If someone searched for '...', would they want to read this article?","survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,models/model-cache-base_34112f5bfc5e.rds,models/model-cache-meta_34116b79aa7b.rds
2017-11-21T14:12:14Z,512,"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform-and-weekday",FALSE,models/model-cache-base_34117e8b95be.rds,models/model-cache-meta_34118bf9177.rds
2017-11-21T14:26:36Z,520,"If someone searched for '...', would they want to read this article?","survey, page info, pagesize, and pageviews",FALSE,models/model-cache-base_34117b319d23.rds,models/model-cache-meta_34116aad1984.rds
2017-11-21T14:34:30Z,528,"If someone searched for '...', would they want to read this article?","survey, page info, log10-pagesize, and log10-pageviews",FALSE,models/model-cache-base_3411112e6933.rds,models/model-cache-meta_3411752927cb.rds
2017-11-21T14:42:28Z,536,"If someone searched for '...', would they want to read this article?","survey, page info, standardized pagesize, and standardized pageviews",FALSE,models/model-cache-base_34112ccb4e4b.rds,models/model-cache-meta_34113de3dea9.rds
2017-11-21T14:52:12Z,544,"If someone searched for '...', would they want to read this article?","survey, page info, normalized pagesize, and normalized pageviews",FALSE,models/model-cache-base_341120f86558.rds,models/model-cache-meta_341157993819.rds
2017-11-21T15:02:33Z,552,"If someone searched for '...', would they want to read this article?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,models/model-cache-base_34116f5512ac.rds,models/model-cache-meta_3411f4340d9.rds
2017-11-21T15:13:01Z,560,"If someone searched for '...', would they want to read this article?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,models/model-cache-base_34117883b8fe.rds,models/model-cache-meta_34112a06d7d7.rds
2017-11-21T15:28:52Z,568,"If you searched for '...', would this article be a good result?",survey-only,FALSE,models/model-cache-base_3411ec57d6e.rds,models/model-cache-meta_3411159a5eb2.rds
2017-11-21T15:39:15Z,576,"If you searched for '...', would this article be a good result?",survey & page info,FALSE,models/model-cache-base_34117f596d07.rds,models/model-cache-meta_3411551092e3.rds
2017-11-21T15:51:59Z,584,"If you searched for '...', would this article be a good result?",survey & traffic,FALSE,models/model-cache-base_3411513cb976.rds,models/model-cache-meta_34114ace094f.rds
2017-11-21T16:03:19Z,592,"If you searched for '...', would this article be a good result?","survey, page info, and traffic",FALSE,models/model-cache-base_341113a9627d.rds,models/model-cache-meta_341171768875.rds
2017-11-21T16:23:01Z,600,"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-weekday",FALSE,models/model-cache-base_341127ddc8b.rds,models/model-cache-meta_341151a69124.rds
2017-11-21T16:37:54Z,608,"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform",FALSE,models/model-cache-base_34111e224616.rds,models/model-cache-meta_34117770e5ec.rds
2017-11-21T16:56:48Z,616,"If you searched for '...', would this article be a good result?","survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,models/model-cache-base_34113bb658bd.rds,models/model-cache-meta_3411602176ae.rds
2017-11-21T17:24:27Z,624,"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform-and-weekday",FALSE,models/model-cache-base_341146e403c3.rds,models/model-cache-meta_34116b12551c.rds
2017-11-21T17:34:21Z,632,"If you searched for '...', would this article be a good result?","survey, page info, pagesize, and pageviews",FALSE,models/model-cache-base_34114b9b212a.rds,models/model-cache-meta_3411456f9981.rds
2017-11-21T17:44:34Z,640,"If you searched for '...', would this article be a good result?","survey, page info, log10-pagesize, and log10-pageviews",FALSE,models/model-cache-base_341173d1e693.rds,models/model-cache-meta_341146ccbe4d.rds
2017-11-21T18:01:14Z,648,"If you searched for '...', would this article be a good result?","survey, page info, standardized pagesize, and standardized pageviews",FALSE,models/model-cache-base_3411301cb305.rds,models/model-cache-meta_34115004fc6.rds
2017-11-21T18:10:56Z,656,"If you searched for '...', would this article be a good result?","survey, page info, normalized pagesize, and normalized pageviews",FALSE,models/model-cache-base_34113bf5e619.rds,models/model-cache-meta_34115ce80150.rds
2017-11-21T18:25:49Z,664,"If you searched for '...', would this article be a good result?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,models/model-cache-base_341142e42e70.rds,models/model-cache-meta_34115cee4b71.rds
2017-11-21T18:33:42Z,672,"If you searched for '...', would this article be a good result?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,models/model-cache-base_341134813969.rds,models/model-cache-meta_34113239411c.rds
2017-11-21T18:40:15Z,680,"If you searched for '...', would this article be relevant?",survey-only,FALSE,models/model-cache-base_34116c318c4a.rds,models/model-cache-meta_34112d04f267.rds
2017-11-21T18:49:10Z,688,"If you searched for '...', would this article be relevant?",survey & page info,FALSE,models/model-cache-base_34115c4018f3.rds,models/model-cache-meta_34117af709b8.rds
2017-11-21T19:03:02Z,696,"If you searched for '...', would this article be relevant?",survey & traffic,FALSE,models/model-cache-base_3411429f511a.rds,models/model-cache-meta_34115b9985fa.rds
2017-11-21T19:16:45Z,704,"If you searched for '...', would this article be relevant?","survey, page info, and traffic",FALSE,models/model-cache-base_341150079c9b.rds,models/model-cache-meta_341113dc0a90.rds
2017-11-21T19:34:22Z,712,"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-weekday",FALSE,models/model-cache-base_341126678f4a.rds,models/model-cache-meta_341163b0ff18.rds
2017-11-21T19:46:49Z,720,"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform",FALSE,models/model-cache-base_34115529306.rds,models/model-cache-meta_341128e56bd5.rds
2017-11-21T20:21:09Z,728,"If you searched for '...', would this article be relevant?","survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,models/model-cache-base_34113557903d.rds,models/model-cache-meta_34112374d91c.rds
2017-11-21T21:06:32Z,736,"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform-and-weekday",FALSE,models/model-cache-base_3411205651c1.rds,models/model-cache-meta_3411710de8fa.rds
2017-11-21T21:27:08Z,744,"If you searched for '...', would this article be relevant?","survey, page info, pagesize, and pageviews",FALSE,models/model-cache-base_34113964fca.rds,models/model-cache-meta_3411673a5584.rds
2017-11-21T21:57:38Z,752,"If you searched for '...', would this article be relevant?","survey, page info, log10-pagesize, and log10-pageviews",FALSE,models/model-cache-base_34115c203e16.rds,models/model-cache-meta_34114f3170f4.rds
2017-11-21T22:05:17Z,760,"If you searched for '...', would this article be relevant?","survey, page info, standardized pagesize, and standardized pageviews",FALSE,models/model-cache-base_34112ca9ef05.rds,models/model-cache-meta_34114ff224a9.rds
2017-11-21T22:13:13Z,768,"If you searched for '...', would this article be relevant?","survey, page info, normalized pagesize, and normalized pageviews",FALSE,models/model-cache-base_341115fe2f42.rds,models/model-cache-meta_34115cc6a20a.rds
2017-11-21T22:23:58Z,776,"If you searched for '...', would this article be relevant?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,models/model-cache-base_341154f27470.rds,models/model-cache-meta_341151f4155b.rds
2017-11-21T22:33:51Z,784,"If you searched for '...', would this article be relevant?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,models/model-cache-base_341139aea35a.rds,models/model-cache-meta_341117d6a2e0.rds
2017-11-21T22:41:41Z,792,Would you click on this page when searching for '...'?,survey-only,FALSE,models/model-cache-base_34112ee260cc.rds,models/model-cache-meta_34116e2fdcc3.rds
2017-11-21T23:00:43Z,800,Would you click on this page when searching for '...'?,survey & page info,FALSE,models/model-cache-base_34114a0fe3fc.rds,models/model-cache-meta_34111b13ed16.rds
2017-11-21T23:10:40Z,808,Would you click on this page when searching for '...'?,survey & traffic,FALSE,models/model-cache-base_34111b34cf2b.rds,models/model-cache-meta_3411264ffcf0.rds
2017-11-21T23:31:06Z,816,Would you click on this page when searching for '...'?,"survey, page info, and traffic",FALSE,models/model-cache-base_3411160af6ce.rds,models/model-cache-meta_34115dd42045.rds
2017-11-21T23:50:45Z,824,Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-weekday",FALSE,models/model-cache-base_34111e982ea.rds,models/model-cache-meta_341166129369.rds
2017-11-22T00:02:16Z,832,Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform",FALSE,models/model-cache-base_341171b02ad5.rds,models/model-cache-meta_341128511234.rds
2017-11-22T00:19:46Z,840,Would you click on this page when searching for '...'?,"survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,models/model-cache-base_341149c39282.rds,models/model-cache-meta_34117702bddb.rds
2017-11-22T00:46:04Z,848,Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform-and-weekday",FALSE,models/model-cache-base_341151367e0a.rds,models/model-cache-meta_34117f1b22bf.rds
2017-11-22T01:01:43Z,856,Would you click on this page when searching for '...'?,"survey, page info, pagesize, and pageviews",FALSE,models/model-cache-base_34111a7796f7.rds,models/model-cache-meta_3411718ccfcb.rds
2017-11-22T01:12:11Z,864,Would you click on this page when searching for '...'?,"survey, page info, log10-pagesize, and log10-pageviews",FALSE,models/model-cache-base_341170290bb9.rds,models/model-cache-meta_34111e0de6c2.rds
2017-11-22T01:35:53Z,872,Would you click on this page when searching for '...'?,"survey, page info, standardized pagesize, and standardized pageviews",FALSE,models/model-cache-base_341158c72550.rds,models/model-cache-meta_34114c4949d0.rds
2017-11-22T01:46:51Z,880,Would you click on this page when searching for '...'?,"survey, page info, normalized pagesize, and normalized pageviews",FALSE,models/model-cache-base_34116d3f57b6.rds,models/model-cache-meta_34115711455.rds
2017-11-22T01:59:24Z,888,Would you click on this page when searching for '...'?,"survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,models/model-cache-base_34111c3b6e79.rds,models/model-cache-meta_341133d86f8.rds
2017-11-22T02:07:23Z,896,Would you click on this page when searching for '...'?,"survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,models/model-cache-base_34116237b660.rds,models/model-cache-meta_3411712de2e9.rds
